"timestamp_utc","app","process_cpu_usage","system_cpu_usage","jvm_threads_live_threads","jvm_gc_overhead_percent","ws_active_connections","market_ws_queue_delay_seconds_max","ws_push_duration_seconds_max","hikaricp_master_active","hikaricp_slave_active","jvm_heap_used_bytes","jvm_gc_pause_count_total","jvm_gc_pause_sum_seconds"
"2026-04-25T19:13:52.8732767Z","app-1","0.0189251057476984","0.0900817856986425","259","0.000286666666666667","0","0.2","0.001438765","0","0","950041960","55","2.234"
"2026-04-25T19:13:53.0918309Z","app-2","0.0184419302885093","0.0913968703502478","246","0.000263333333333333","0","0.297","0.006410223","0","0","1027121248","48","3.114"
"2026-04-25T19:13:58.3120176Z","app-1","0.120285323431698","0.421932785341193","259","0.000366666666666667","0","0.292","0.001438765","0","0","984859472","56","2.258"
"2026-04-25T19:13:58.4940686Z","app-2","0.117420881396037","0.416143148646868","247","0.00031","0","0.297","0.006410223","0","0","511673544","49","3.128"
"2026-04-25T19:14:03.6602210Z","app-1","0.109356725146199","0.37003373074558","259","0.00039","0","0.292","0.001438765","0","1","1017499328","57","2.265"
"2026-04-25T19:14:03.8852584Z","app-2","0.105910118989084","0.364881652936861","246","0.00031","0","0.297","0.006410223","0","0","1396671688","49","3.128"
"2026-04-25T19:14:09.0724368Z","app-1","0.120848889762232","0.47210101432415","259","0.000416666666666667","0","0.292","0.001438765","0","2","1060108000","58","2.273"
"2026-04-25T19:14:09.2637565Z","app-2","0.118700459927586","0.473223626687936","246","0.000353333333333333","0","0.297","0.000316792","0","0","876420192","50","3.141"
"2026-04-25T19:14:14.4496791Z","app-1","0.110284035259549","0.369403332867034","259","0.000446666666666667","0","0.292","0.001438765","0","0","1084814064","59","2.282"
"2026-04-25T19:14:14.6194724Z","app-2","0.109868550127526","0.369561180160323","245","0.000306666666666667","0","0.297","0.000316792","0","0","369753848","51","3.149"
"2026-04-25T19:14:19.8065846Z","app-1","0.113872660659471","0.401785982158392","259","0.000473333333333333","0","0.292","0.001438765","0","0","1101907688","60","2.29"
"2026-04-25T19:14:19.9770701Z","app-2","0.110538316645187","0.401642041174722","245","0.000306666666666667","0","0.297","0.000316792","0","1","1258946296","51","3.149"
"2026-04-25T19:14:25.1620099Z","app-1","0.114437660035454","0.44169038664497","259","0.00049","0","0.292","0.001438765","0","0","1139885440","61","2.295"
"2026-04-25T19:14:25.3226705Z","app-2","0.111242370545383","0.442805997688701","245","0.000346666666666667","0","0.297","0.000316792","0","0","722639168","52","3.161"
"2026-04-25T19:14:30.5045846Z","app-1","0.120790702294626","0.426762908853066","259","0.000536666666666667","0","0.292","0.001438765","0","0","292090384","63","2.309"
"2026-04-25T19:14:30.6761051Z","app-2","0.118568454446317","0.426779724185221","245","0.000346666666666667","0","0.297","0.000316792","0","1","1628608832","52","3.161"
"2026-04-25T19:14:35.8225618Z","app-1","0.11263871157812","0.383631352679414","259","0.00056","0","0.292","0.001438765","0","1","338747464","64","2.316"
"2026-04-25T19:14:36.0353947Z","app-2","0.110034602076125","0.380913022210674","245","0.00037","0","0.297","0.000316792","0","0","1099305776","53","3.168"
"2026-04-25T19:14:41.2373667Z","app-1","0.119917501473188","0.473970082528019","259","0.00059","0","0.292","0.001438765","0","1","373266480","65","2.325"
"2026-04-25T19:14:41.3832562Z","app-2","0.121070103495411","0.476198020332976","245","0.000396666666666667","0","0.298","0.000316792","0","0","605007520","54","3.176"
"2026-04-25T19:14:46.5312811Z","app-1","0.112996031746032","0.379830843570323","259","0.00062","0","0.292","0.001438765","0","0","420539816","66","2.334"
"2026-04-25T19:14:46.7067154Z","app-2","0.109724440894569","0.376500987429934","245","0.000396666666666667","0","0.298","0.000316792","0","1","1490005664","54","3.176"
"2026-04-25T19:14:51.9409651Z","app-1","0.114815917435745","0.407145442362199","259","0.000646666666666667","0","0.292","0.001438765","0","1","445043472","67","2.342"
"2026-04-25T19:14:52.1269363Z","app-2","0.115767878077374","0.412266318395447","245","0.00042","0","0.298","0.000316792","0","0","982026464","55","3.183"
"2026-04-25T19:14:57.2569219Z","app-1","0.0543824124963841","0.249882805522769","259","0.00046","0","0.292","0.001438765","0","0","856085264","67","2.342"
"2026-04-25T19:14:57.3524807Z","app-2","0.048148877510831","0.235056343087936","245","0.00042","0","0.298","0.000316792","0","0","1355319520","55","3.183"
"2026-04-25T19:15:02.5345179Z","app-1","0.00199262727906745","0.0153025453720642","259","0.00046","0","0.292","0.001438765","0","0","872862480","67","2.342"
"2026-04-25T19:15:02.6614948Z","app-2","0.000688163586315375","0.0151067163184359","245","0.00042","0","0.298","0.000316792","0","0","1372096736","55","3.183"
